1,Rechercheur Versteegh en de dertien katten,9789026116070,1963,Nee
2,De Cock en een strop voor Bobby,9789026106149,1964,Nee
3,De Cock en de wurger op zondag,9789026101069,1965,Nee
4,De Cock en het lijk in de kerstnacht,9789026101076,1965,Nee
5,De Cock en de moord op Anna Bentveld,9789026105098,1967,Nee
6,De Cock en het sombere naakt,9789026101564,1967,Nee
7,De Cock en de dode harlekijn,9789026101519,1968,Nee
8,De Cock en de treurende kater,9789026101212,1969,Nee
9,De Cock en de ontgoochelde dode,9789026101243,1970,Nee
10,De Cock en de zorgvuldige moordenaar,9789026101557,1971,Nee
11,De Cock en de romance in moord,9789026101366,1972,Nee
12,De Cock en de stervende wandelaar,9789026101526,1972,Nee
13,De Cock en het lijk aan de kerkmuur,9789026101540,1973,Nee
14,De Cock en de dansende dood,9789026101533,1974,Nee
15,De Cock en de naakte juffer,9789026101472,1978,Nee
16,De Cock en de broeders van de zachte dood,9789026101595,1979,Nee
17,De Cock en het dodelijk akkoord,9789026101649,1980,Nee
18,De Cock en de moord in seance,9789026101670,1981,Nee
19,De Cock en de moord in extase,9789026101700,1982,Nee
20,De Cock en de smekende dood,9789026101724,1982,Nee
21,De Cock en de ganzen van de dood,9789026121487,1983,Nee
22,De Cock en de moord op melodie,9789026101731,1983,Nee
23,De Cock en de dood van een clown,9789026101793,1984,Nee
24,De Cock en een variant op moord,9789026101946,1984,Nee
25,De Cock en moord op termijn,9789026102196,1985,Nee
26,De Cock en moord op de Bloedberg,9789026102363,1985,Nee
27,De Cock en de dode minnaars,9789026102516,1986,Nee
28,De Cock en het masker van de dood,9789026102158,1987,Nee
29,De Cock en het lijk op retour,9789026102745,1987,Nee
30,De Cock en moord in brons,9789026103100,1988,Nee
31,De Cock en een dodelijke dreiging,9789026103230,1988,Nee
32,De Cock en moord eerste klasse,9789026103469,1989,Nee
33,De Cock en de bloedwraak,9789026103773,1989,Nee
34,De Cock en moord Ã  la carte,9789026104213,1990,Nee
35,De Cock en moord in beeld,9789026104527,1990,Nee
36,De Cock en danse macabre,9789026104275,1991,Nee
37,De Cock en de ontluisterende dood,9789026105036,1991,Nee
38,De Cock en een duivels komplot,9789026105296,1992,Nee
39,De Cock en het duel in de nacht,9789026105302,1992,Nee
40,De Cock en de dood van een profeet,9789026106163,1993,Nee
41,De Cock en kogels voor een bruid,9789026106057,1993,Nee
42,De Cock en de dode meesters,9789026106637,1994,Nee
43,De Cock en de sluimerende dood,9789026106644,1994,Nee
44,De Cock en 't wassend kwaad,9789026107221,1995,Nee
45,De Cock en het roodzijden nachthemd,9789026108327,1995,Nee
46,De Cock en moord bij maanlicht,9789026108136,1996,Nee
47,De Cock en de geur van rottend hout,9789026109225,1996,Nee
48,De Cock en een dodelijk rendez-vous,9789026109669,1997,Nee
49,De Cock en tranen aan de Leie,9789026113420,1997,Nee
50,De Cock en het lijk op drift,9789026109355,1998,Nee
51,De Cock en de onsterfelijke dood,9789026114342,1998,Nee
52,De Cock en de dood in antiek,9789026114816,1999,Nee
53,De Cock en een deal met de duivel,9789026113413,1999,Nee
54,De Cock en dood door hamerslag,9789026114984,2000,Nee
55,De Cock en de dwaze maagden,9789026115424,2000,Nee
56,De Cock en de dode tempeliers,9789026115943,2001,Nee
57,De Cock en de blijde Bacchus,9789026116308,2001,Nee
58,De Cock en moord op bestelling,9789026117398,2002,Nee
59,De Cock en de dood van de Helende Meesters,9789026118388,2002,Nee
60,De Cock en moord in reclame,9789026117701,2003,Nee
61,De Cock en geen excuus voor moord,9789026117381,2003,Nee
62,De Cock en de gebrandmerkte doden,9789026118067,2004,Nee
63,De Cock en een veld papavers,9789026175329,2004,Nee
64,De Cock en de broeders van de haat,9789026121845,2005,Nee
65,De Cock en de dood van een kunstenaar,9789026122088,2005,Nee
66,De Cock en de dartele weduwe,9789026122095,2006,Nee
67,De Cock en moord in triplo,9789026122224,2006,Nee
68,De Cock en een recept voor moord,9789026122392,2007,Nee
69,De Cock en de wortel van het kwaad,9789026122514,2007,Nee
70,De Cock en de moord in de hondsdagen,9789026122613,2008,Nee
71,De Cock en de dood in gebed,9789026122811,2008,Nee
72,De Cock en de onzichtbare moordenaar,9789026133046,2012,Nee
73,De Cock en de moord in het circus,9789026133725,2013,Nee
74,De Cock en de dood van een engel,9789026134579,2013,Nee
75,De Cock en de rituele moord,9789026135835,2014,Nee
76,De Cock en het lijk aan de Amstel,9789026135859,2014,Nee
77,De Cock en de dode diva,9789026137044,2015,Nee
78,De Cock en de vermoorde onschuld,9789026137488,2015,Nee
79,De Cock en het dodelijk doel,9789026138454,2016,Nee
80,De Cock en de zoete wraak,9789026138478,2016,Nee
81,De Cock en de moord op maat,9789026138492,2017,Nee
82,De Cock en een duivels dilemma,9789026143571,2017,Nee
83,De Cock en de naakte waarheid,9789026143595,2018,Nee
84,De Cock en de dood van een kerkrat,9789026144189,2018,Nee
85,De Cock en de zwarte weduwe,9789026144202,2019,Nee
86,De Cock en de levende dode,9789026144226,2019,Nee
87,De Cock en de kermis in de hel,9789026150159,2020,Nee
88,De Cock en de schaduw van de dood,9789026150180,2020,Nee
89,De Cock en de schim uit het verleden,9789026152269,2021,Nee
90,De Cock en de eenzame dood,9789026152276,2021,Nee
91,De Cock en moord op stand,9789026152283,2021,Nee
92,De Cock en een dodelijk spel,9789026158957,2022,Nee
93,De Cock en de ongehoorde moord,9789026158988,2023,Nee
94,De Cock en het kind van de rekening,9789026159015,2023,Nee
95,De Cock en de kus des doods,9789026166006,2024,Nee